bron_rij,Ad Name,Product,Awareness Level,Angle Type,Marketing Angle (origineel),Desires (origineel),Format,Media Type,Hook (short),Channel,Audience,Persona,Date Live,Budget (€),Impressions,Hook Rate (%),Hold Rate (%),CTR (%),CPM (€),CPC (€),Conversions,CVR (%),CPA (€),AOV (€),ROAS,Break-even ROAS,Target ROAS,Score (1-10),Status,Next Step,Notes,Creatives Link
50,021-1,Groom Guard,2. Problem Aware,Authority / Expert,Probleemoplossing + educatie + veiligheid,"Verlangen naar comfort, veiligheid en zorg voor de huid",📱 UGC Talking Head Testimonial,🎬 Video,Oksels zijn geen oorlogsterein,Meta,NL & BE,Luca,2025-08-27,29.59,,0.2341,0.0354,0.01,11.38,1.56,,0.0,,,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/13MipwiKkNSWInO8uS2jsT7YIMM4DTb9M?usp=sharing
51,021-2,Groom Guard,2. Problem Aware,Authority / Expert,Probleemoplossing + educatie + veiligheid,"Verlangen naar comfort, veiligheid en zorg voor de huid",📱 UGC Talking Head Testimonial,🎬 Video,Waarom je je oksels NOOIT met een wegwerpmes moet scheren,Meta,NL & BE,Luca,2025-08-27,34.85,,0.2572,0.0312,0.0118,11.43,1.34,,0.0769,17.43,33.94,1.95,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/13MipwiKkNSWInO8uS2jsT7YIMM4DTb9M?usp=sharing
52,021-3,Groom Guard,2. Problem Aware,Authority / Expert,Probleemoplossing + educatie + veiligheid,"Verlangen naar comfort, veiligheid en zorg voor de huid",📱 UGC Talking Head Testimonial,🎬 Video,Het begon als een snelle scheerbeurt...,Meta,NL & BE,Luca,2025-08-27,1.51,,0.2202,0.0298,0.0,8.99,,,,,,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/13MipwiKkNSWInO8uS2jsT7YIMM4DTb9M?usp=sharing
53,022-1,Groom Guard,1. Unaware,Storytelling / Narrative,Relatable bro-talk + zelfvertrouwen boost,Verlangen naar zelfvertrouwen en aantrekkelijkheid,📱 UGC Talking Head Testimonial,🎬 Video,"Oké, ik zeg je eerlijk… Ik schoor me daar beneden eerst nooit.",Meta,NL & BE,Daan,2025-08-27,1.26,,0.1942,0.0485,0.0097,12.23,1.26,,0.0,,,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1wgqUJpIYqooDsYYbvIDWA36gcThmA5jM?usp=drive_link
54,022-2,Groom Guard,1. Unaware,Storytelling / Narrative,Relatable bro-talk + zelfvertrouwen boost,Verlangen naar zelfvertrouwen en aantrekkelijkheid,📱 UGC Talking Head Testimonial,🎬 Video,"Bro… sinds ik m’n lichaam bijhoud, krijg ik zóveel meer complimenten.",Meta,NL & BE,Daan,2025-08-27,232.51,,0.3112,0.0692,0.0163,10.88,0.82,,0.0316,25.83,45.01,1.74,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1wgqUJpIYqooDsYYbvIDWA36gcThmA5jM?usp=drive_link
55,022-3,Groom Guard,1. Unaware,Storytelling / Narrative,Relatable bro-talk + zelfvertrouwen boost,Verlangen naar zelfvertrouwen en aantrekkelijkheid,📱 UGC Talking Head Testimonial,🎬 Video,"Niemand vertelt je dit als je 18 bent. Maar dit verandert hoe je je voelt, man",Meta,NL & BE,Daan,2025-08-27,37.42,,0.2243,0.0377,0.0149,12.38,0.89,,0.0,,,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1wgqUJpIYqooDsYYbvIDWA36gcThmA5jM?usp=drive_link
56,023-1,Groom Guard,2. Problem Aware,Problem-Solution,Stressvrij groomen + probleemoplossing,Verlangen naar zorgeloos en comfortabel trimmen,📱 UGC Talking Head Testimonial,🎬 Video,Groomen zonder stress? Dan heb je dit ding nodig.,Meta,NL & BE,Luca,2025-08-29,1.66,,0.1193,0.0398,0.0114,9.43,0.83,,0.0,,,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1OjDj9yAwrNDNml7nb3L9UtTSkKa1Vj80?usp=drive_link
57,023-2,Groom Guard,2. Problem Aware,Problem-Solution,Stressvrij groomen + probleemoplossing,Verlangen naar zorgeloos en comfortabel trimmen,📱 UGC Talking Head Testimonial,🎬 Video,"Elke keer weer die wondjes, maar ik blijf het toch proberen",Meta,NL & BE,Luca,2025-08-29,147.37,,0.3397,0.083,0.0096,6.77,0.84,,0.0169,49.12,44.95,0.92,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1OjDj9yAwrNDNml7nb3L9UtTSkKa1Vj80?usp=drive_link
58,023-3,Groom Guard,2. Problem Aware,Problem-Solution,Stressvrij groomen + probleemoplossing,Verlangen naar zorgeloos en comfortabel trimmen,📱 UGC Talking Head Testimonial,🎬 Video,"Waarom zou je hier nog over stressen, als je dit zo makkelijk kunt oplossen.",Meta,NL & BE,Luca,2025-08-29,10.88,,0.2004,0.0559,0.0084,10.14,1.81,,0.0,,,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1OjDj9yAwrNDNml7nb3L9UtTSkKa1Vj80?usp=drive_link
59,024-1,Groom Guard,2. Problem Aware,Social Proof / Reviews,Sociale bevestiging en moeiteloze verzorging,Lichte schaamte gecombineerd met zelfvertrouwen,📱 UGC Talking Head Testimonial,🎬 Video,Je hoeft echt niet baby smooth te zijn hoor.... gewoon geen jungle,Meta,NL & BE,Luca,2025-09-05,,,,,,,,,,,,,1.9,2.38,,Iterate,,"Getest, resultaat TBD.",https://drive.google.com/drive/folders/1OyJyOIpbJOqBDYdE89v4OIXZp23jnMsW?usp=drive_link
60,024-2,Groom Guard,2. Problem Aware,Social Proof / Reviews,Sociale bevestiging en moeiteloze verzorging,Lichte schaamte gecombineerd met zelfvertrouwen,📱 UGC Talking Head Testimonial,🎬 Video,"En ja, we merken ook of je er moeite voor hebt gedaan of niet",Meta,NL & BE,Luca,2025-09-05,95.66,,0.328,0.0604,0.0122,9.21,1.02,,0.0104,95.66,44.96,0.47,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1OyJyOIpbJOqBDYdE89v4OIXZp23jnMsW?usp=drive_link
61,024-3,Groom Guard,2. Problem Aware,Social Proof / Reviews,Sociale bevestiging en moeiteloze verzorging,Lichte schaamte gecombineerd met zelfvertrouwen,📱 UGC Talking Head Testimonial,🎬 Video,Mag ik even eerlijk zijn? We merken het ècht als mannen hun buik en okselhaar bijhouden,Meta,NL & BE,Luca,2025-09-05,21.5,,0.2204,0.0356,0.0103,12.34,1.65,,0.0,,,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1OyJyOIpbJOqBDYdE89v4OIXZp23jnMsW?usp=drive_link
62,025-1,Groom Guard,1. Unaware,Social Proof / Reviews,Sociale druk en aantrekkelijkheid,Aantrekkelijk gevonden worden — gedreven door sociale acceptatie en seksuele aantrekkingskracht,📱 UGC Talking Head Testimonial,🎬 Video,Groom je jezelf een beetje? Of ben je nog steeds een wandelend oerwoud?,Meta,NL & BE,Luca,2025-09-05,353.79,,0.202,0.0675,0.0119,6.95,0.7,,0.0252,27.21,46.24,1.7,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1vpGJTDxP_M0-TD01NkLzVPlPtnwnJPTB?usp=drive_link
63,025-2,Groom Guard,1. Unaware,Social Proof / Reviews,Sociale druk en aantrekkelijkheid,Aantrekkelijk gevonden worden — gedreven door sociale acceptatie en seksuele aantrekkingskracht,📱 UGC Talking Head Testimonial,🎬 Video,We vinden het echt aantrekkelijk als jongens zich verzorgen. IK MEEN HET!,Meta,NL & BE,Luca,2025-09-05,5.66,,0.1689,0.3175,0.0107,15.17,1.42,,0.0,0.0,0.0,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1vpGJTDxP_M0-TD01NkLzVPlPtnwnJPTB?usp=drive_link
64,025-3,Groom Guard,1. Unaware,Social Proof / Reviews,Sociale druk en aantrekkelijkheid,Aantrekkelijk gevonden worden — gedreven door sociale acceptatie en seksuele aantrekkingskracht,📱 UGC Talking Head Testimonial,🎬 Video,Verzorg jij je daar beneden? Dan word het tijd vriend!,Meta,NL & BE,Luca,2025-09-05,114.6,,0.1899,0.3284,0.0098,7.25,0.74,,3.87,19.1,45.23,2.37,1.9,2.38,,Iterate,,,https://drive.google.com/drive/folders/1vpGJTDxP_M0-TD01NkLzVPlPtnwnJPTB?usp=drive_link
65,026-1,Groom Guard,3. Solution Aware,Benefits-Driven,All-in-one oplossing + veiligheid + autoriteit,"Verlangen naar veiligheid, gemak en zekerheid",🖼️ Static ad,🖼️ Static ad,"Van je kaaklijn tot je kruis (veilig scheren, voor elke zone)",Meta,NL & BE,Luca,2025-08-29,101.1,,0.0001,0.0,0.0173,7.26,0.59,,0.0175,33.7,45.61,1.35,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1TN6TGXw1GbJUxRnPHUFDlXeRhqIopaSk?usp=drive_link
66,026-2,Groom Guard,3. Solution Aware,Benefits-Driven,All-in-one oplossing + veiligheid + autoriteit,"Verlangen naar veiligheid, gemak en zekerheid",🖼️ Static ad,🖼️ Static ad,Dit heeft mn ballen gered!,Meta,NL & BE,Luca,2025-08-29,18.03,,0.0,0.0,0.0198,11.18,1.0,,0.0,,,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1TN6TGXw1GbJUxRnPHUFDlXeRhqIopaSk?usp=drive_link
67,026-3,Shave Package 2.0,3. Solution Aware,Benefits-Driven,All-in-one oplossing + veiligheid + autoriteit,"Verlangen naar veiligheid, gemak en zekerheid",🖼️ Static ad,🖼️ Static ad,#1 Grooming pakket van Nederland,Meta,NL & BE,Luca,2025-08-29,12.73,,0.0,0.0,0.0062,8.82,1.82,,0.0,,,0.0,1.91,2.38,,Killed,,,https://drive.google.com/drive/folders/1TN6TGXw1GbJUxRnPHUFDlXeRhqIopaSk?usp=drive_link
68,027-1,Shave Package 3.0,1. Unaware,Storytelling / Narrative,Humor + relatability rond mannelijke verzorging,"“Van gevoelige plekken tot neushaar – één pakket, nul zorgen.”
“Geen schaamte. Geen bultjes. Alleen gemak.”",📱 UGC Talking Head Testimonial,🎬 Video,Waarom voelt trimmen op gevoelige plekken altijd zo vervelend?,Meta,NL & BE,Luca,2025-09-30,27.02,,0.3006,0.0701,0.0191,10.76,0.77,,0.0,,,0.0,1.81,2.26,,Killed,,48.0,https://drive.google.com/drive/folders/1XR62aX9-kfN6I14XMBVnwsvg0zgH8rrw?usp=sharing
69,027-2,Groom Guard,1. Unaware,Storytelling / Narrative,Attractiveness & social approval,Verlangen naar aantrekkelijkheid en sociale goedkeuring,📱 UGC Talking Head Testimonial,🎬 Video,Mannen die zich niet goed scheren? Dat is een afknapper,Meta,NL & BE,Daan,2025-09-30,316.98,,0.3464,0.0958,0.0168,8.86,0.73,,0.0155,45.28,65.52,1.45,1.9,2.38,,Killed,,599.0,https://drive.google.com/drive/folders/1XR62aX9-kfN6I14XMBVnwsvg0zgH8rrw?usp=sharing
70,028-1,Bodygroomer Collectie,1. Unaware,Curiosity / Intrigue,"De boom/jungle-metafoor: zonder onderhoud wordt alles wild en rommelig. Net als bij je lichaamshaar. Met Wellshave hou je het netjes, veilig en verzorgd.","Opluchting: eindelijk zonder stress of sneetjes groomen
Zelfvertrouwen: je lichaam netjes en verzorgd → je voelt je beter bij intimiteit
Verzorgd & fris voelen: geen schaamte, maar zekerheid",👤 Founder Story / Origin Video,🎬 Video,"Ze zeggen wel eens hogen bomen vangen veel wind en precies zo dat is hoe het zit, maar dat geldt ook natuurlijk voor daar beneden in je broek",Meta,NL & BE,Luca,2025-09-08,27.67,,0.1712,0.0298,0.0079,5.47,1.26,,0.0,,,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/192rCdkgjRFce20Xc2opdqEBxtxNyAujh?usp=drive_link
71,028-2,Bodygroomer Collectie,1. Unaware,Curiosity / Intrigue,"De boom/jungle-metafoor: zonder onderhoud wordt alles wild en rommelig. Net als bij je lichaamshaar. Met Wellshave hou je het netjes, veilig en verzorgd.","Opluchting: eindelijk zonder stress of sneetjes groomen
Zelfvertrouwen: je lichaam netjes en verzorgd → je voelt je beter bij intimiteit
Verzorgd & fris voelen: geen schaamte, maar zekerheid",👤 Founder Story / Origin Video,🎬 Video,"Hoe hoger de boom, hoe meer takken er in de weg zitten, en dat geldt natuurlijk ook voor daar beneden daar in je broek",Meta,NL & BE,Luca,2025-09-08,3.93,,0.1403,0.2535,0.004,7.77,1.97,,0.0,0.0,0.0,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/192rCdkgjRFce20Xc2opdqEBxtxNyAujh?usp=drive_link
72,028-3,Bodygroomer Collectie,1. Unaware,Curiosity / Intrigue,"De boom/jungle-metafoor: zonder onderhoud wordt alles wild en rommelig. Net als bij je lichaamshaar. Met Wellshave hou je het netjes, veilig en verzorgd.","Opluchting: eindelijk zonder stress of sneetjes groomen
Zelfvertrouwen: je lichaam netjes en verzorgd → je voelt je beter bij intimiteit
Verzorgd & fris voelen: geen schaamte, maar zekerheid",👤 Founder Story / Origin Video,🎬 Video,"Elke boom heeft onderhoud nodig, anders groeit het gewoon super wild en daarom is groomen zo belangrijk",Meta,NL & BE,Luca,2025-09-08,85.26,,0.206,0.0646,0.0127,7.48,1.12,,0.0119,85.26,49.95,0.59,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/192rCdkgjRFce20Xc2opdqEBxtxNyAujh?usp=drive_link
73,028-4,Bodygroomer Collectie,1. Unaware,Curiosity / Intrigue,"De boom/jungle-metafoor: zonder onderhoud wordt alles wild en rommelig. Net als bij je lichaamshaar. Met Wellshave hou je het netjes, veilig en verzorgd.","Opluchting: eindelijk zonder stress of sneetjes groomen
Zelfvertrouwen: je lichaam netjes en verzorgd → je voelt je beter bij intimiteit
Verzorgd & fris voelen: geen schaamte, maar zekerheid",👤 Founder Story / Origin Video,🎬 Video,Wist jij dat na het groomen je boom ongeveer ander half keer zo groot wordt?,Meta,NL & BE,Luca,2025-09-08,28.07,,0.2269,0.0423,0.0079,6.31,1.75,,0.0,,,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/192rCdkgjRFce20Xc2opdqEBxtxNyAujh?usp=drive_link
74,029-1,Bodygroomer Collectie,1. Unaware,Curiosity / Intrigue,"De boom/jungle-metafoor: zonder onderhoud wordt alles wild en rommelig. Net als bij je lichaamshaar. Met Wellshave hou je het netjes, veilig en verzorgd.","Opluchting: eindelijk zonder stress of sneetjes groomen
Zelfvertrouwen: je lichaam netjes en verzorgd → je voelt je beter bij intimiteit
Verzorgd & fris voelen: geen schaamte, maar zekerheid",👤 Founder Story / Origin Video,🎬 Video,"Snap: Wtf is deze gast aan het doen in het bos? Ze zeggen wel eens hogen bomen vangen veel wind en precies zo dat is hoe het zit, maar dat geldt ook natuurlijk voor daar beneden in je broek",Meta,NL & BE,Luca,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1OPej879aHQClZvslcHwrLwtPsEeD6wI3?usp=sharing
75,029-2,Bodygroomer Collectie,1. Unaware,Curiosity / Intrigue,"De boom/jungle-metafoor: zonder onderhoud wordt alles wild en rommelig. Net als bij je lichaamshaar. Met Wellshave hou je het netjes, veilig en verzorgd.","Opluchting: eindelijk zonder stress of sneetjes groomen
Zelfvertrouwen: je lichaam netjes en verzorgd → je voelt je beter bij intimiteit
Verzorgd & fris voelen: geen schaamte, maar zekerheid",👤 Founder Story / Origin Video,🎬 Video,"Snap: Wtf is deze gast aan het doen in het bos? Hoe hoger de boom, hoe meer takken er in de weg zitten, en dat geldt natuurlijk ook voor daar beneden daar in je broek",Meta,NL & BE,Luca,,14.93,,0.0,0.0,0.0062,8.43,1.36,,0.0,0.0,0.0,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1OPej879aHQClZvslcHwrLwtPsEeD6wI3?usp=sharing
76,029-3,Bodygroomer Collectie,1. Unaware,Curiosity / Intrigue,"De boom/jungle-metafoor: zonder onderhoud wordt alles wild en rommelig. Net als bij je lichaamshaar. Met Wellshave hou je het netjes, veilig en verzorgd.","Opluchting: eindelijk zonder stress of sneetjes groomen
Zelfvertrouwen: je lichaam netjes en verzorgd → je voelt je beter bij intimiteit
Verzorgd & fris voelen: geen schaamte, maar zekerheid",👤 Founder Story / Origin Video,🎬 Video,"Snap: Wtf is deze gast aan het doen in het bos? Elke boom heeft onderhoud nodig, anders groeit het gewoon super wild en daarom is groomen zo belangrijk",Meta,NL & BE,Luca,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1OPej879aHQClZvslcHwrLwtPsEeD6wI3?usp=sharing
77,029-4,Bodygroomer Collectie,1. Unaware,Curiosity / Intrigue,"De boom/jungle-metafoor: zonder onderhoud wordt alles wild en rommelig. Net als bij je lichaamshaar. Met Wellshave hou je het netjes, veilig en verzorgd.","Opluchting: eindelijk zonder stress of sneetjes groomen
Zelfvertrouwen: je lichaam netjes en verzorgd → je voelt je beter bij intimiteit
Verzorgd & fris voelen: geen schaamte, maar zekerheid",👤 Founder Story / Origin Video,🎬 Video,Snap: Wtf is deze gast aan het doen in het bos? Wist jij dat na het groomen je boom ongeveer ander half keer zo groot wordt?,Meta,NL & BE,Luca,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1OPej879aHQClZvslcHwrLwtPsEeD6wI3?usp=sharing
78,030-1,Groom Guard,3. Solution Aware,Benefits-Driven,"“Minder okselhaar = minder zweetgeur in de gym.”→ Focus op frisheid, hygiëne en zelfvertrouwen tijdens het sporten.","Emotie (nu): schaamte, onzekerheid, afkeer van eigen geur
Verlangen (na): frisheid, zelfvertrouwen, comfortabel sporten zonder zorgen",📱 UGC Talking Head Testimonial,🎬 Video,Niemand zegt dit… maar je okselhaar is de reden dat je zo snel stinkt in de gym,Meta,NL & BE,,2025-09-30,25.59,,0.1313,0.0303,0.0227,64.62,8.53,,0.0,,,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/13tkBS6C2ODl3S-Co1oS1wS9nEF3Fb26e?usp=sharing
79,030-2,Groom Guard,3. Solution Aware,Benefits-Driven,"“Minder okselhaar = minder zweetgeur in de gym.”→ Focus op frisheid, hygiëne en zelfvertrouwen tijdens het sporten.","Emotie (nu): schaamte, onzekerheid, afkeer van eigen geur
Verlangen (na): frisheid, zelfvertrouwen, comfortabel sporten zonder zorgen",📱 UGC Talking Head Testimonial,🎬 Video,"Bro, scheer je oksels. Je gaat me later bedanken.",Meta,NL & BE,Luca,2025-09-30,34.14,,0.191,0.048,0.0167,35.64,2.85,,0.0,,,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/13tkBS6C2ODl3S-Co1oS1wS9nEF3Fb26e?usp=sharing
80,030-3,Groom Guard,3. Solution Aware,Benefits-Driven,"“Minder okselhaar = minder zweetgeur in de gym.”→ Focus op frisheid, hygiëne en zelfvertrouwen tijdens het sporten.","Emotie (nu): schaamte, onzekerheid, afkeer van eigen geur
Verlangen (na): frisheid, zelfvertrouwen, comfortabel sporten zonder zorgen",📱 UGC Talking Head Testimonial,🎬 Video,Minder haar = minder stank. Zo simpel is het.,Meta,NL & BE,Luca,2025-09-30,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/13tkBS6C2ODl3S-Co1oS1wS9nEF3Fb26e?usp=sharing
81,031-1,5in1 Shaver Deluxe,3. Solution Aware,Benefits-Driven,"Focus op snelheid (90 sec – 3 min), gemak (waterproof, mess free), en multifunctionaliteit (5-in-1 attachments).","He is frustrated by shaving cream and razor blades that cause cuts and irritation.
What he wants is control, convenience, and a clean-shaven head in just 3 minutes.
The desire: confidence, pride, and always looking well-groomed with one premium tool.",📱 UGC Talking Head Testimonial,🎬 Video,Waarom ik dit scheereapparaat gebruik om mijn hoofd te scheren,Meta,NL & BE,Patrick,2025-09-30,17.97,,0.3648,0.2423,0.01,11.94,1.2,,0.0,0.0,0.0,0.0,2.11,2.64,,Killed,,,https://drive.google.com/drive/folders/19ZwxA4JhRxQzuuKSX2NPYN4xjBLi3OFc?usp=sharing
82,031-2,5in1 Shaver Deluxe,3. Solution Aware,Benefits-Driven,"Focus op snelheid (90 sec – 3 min), gemak (waterproof, mess free), en multifunctionaliteit (5-in-1 attachments).","He is frustrated by shaving cream and razor blades that cause cuts and irritation.
What he wants is control, convenience, and a clean-shaven head in just 3 minutes.
The desire: confidence, pride, and always looking well-groomed with one premium tool.",📱 UGC Talking Head Testimonial,🎬 Video,Ik scheer mijn hele hoofd in een paar minuten,Meta,NL & BE,Patrick,2025-09-30,62.21,,0.2767,0.0739,0.0159,11.27,0.97,,0.0156,62.21,44.96,0.72,2.11,2.64,,Killed,,,https://drive.google.com/drive/folders/19ZwxA4JhRxQzuuKSX2NPYN4xjBLi3OFc?usp=sharing
83,031-3,5in1 Shaver Deluxe,3. Solution Aware,Benefits-Driven,"Focus op snelheid (90 sec – 3 min), gemak (waterproof, mess free), en multifunctionaliteit (5-in-1 attachments).","He is frustrated by shaving cream and razor blades that cause cuts and irritation.
What he wants is control, convenience, and a clean-shaven head in just 3 minutes.
The desire: confidence, pride, and always looking well-groomed with one premium tool.",📱 UGC Talking Head Testimonial,🎬 Video,"5 functies in 1 apparaat, dit maakt mijn routine zoveel makkelijker",Meta,NL & BE,Patrick,2025-09-30,37.57,,0.2663,0.0785,0.0187,13.23,0.85,,0.0227,37.57,49.95,1.33,2.11,2.64,,Killed,,,https://drive.google.com/drive/folders/19ZwxA4JhRxQzuuKSX2NPYN4xjBLi3OFc?usp=sharing
84,032-1,Shave Package 3.0,3. Solution Aware,Benefits-Driven,"Zelfvertrouwen & comfort door pijnloos, snel en dagelijks glad scheren.","Frustratie over pijnlijke scheerbeurten → verlangen naar gemak, comfort en zelfverzekerd gevoel.",🖼️ Static ad,🖼️ Static ad,Krijg dagelijkse zelfvertrouwen in minuten,Meta,NL & BE,Luca,2025-09-30,1.55,,0.0,0.0,0.0132,10.2,0.78,,0.0,0.0,0.0,0.0,1.81,2.26,,Killed,,,https://drive.google.com/drive/folders/1TM7K3uHtbNoyg8tmrFp1MlL2UqbBAXK5?usp=drive_link
85,032-2,Shave Package 3.0,3. Solution Aware,Benefits-Driven,"Zelfvertrouwen & comfort door pijnloos, snel en dagelijks glad scheren.","Frustratie over pijnlijke scheerbeurten → verlangen naar gemak, comfort en zelfverzekerd gevoel.",🖼️ Static ad,🖼️ Static ad,Bestel vandaag nog - 25% korting,Meta,NL & BE,Luca,2025-09-30,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.81,2.26,,Killed,,,https://drive.google.com/drive/folders/1TM7K3uHtbNoyg8tmrFp1MlL2UqbBAXK5?usp=drive_link
86,032-3,Shave Package 3.0,3. Solution Aware,Benefits-Driven,"Zelfvertrouwen & comfort door pijnloos, snel en dagelijks glad scheren.","Frustratie over pijnlijke scheerbeurten → verlangen naar gemak, comfort en zelfverzekerd gevoel.",🖼️ Static ad,🖼️ Static ad,Stop met pijnlijke scheerbeurten,Meta,NL & BE,Luca,2025-09-30,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.81,2.26,,Killed,,,https://drive.google.com/drive/folders/1TM7K3uHtbNoyg8tmrFp1MlL2UqbBAXK5?usp=drive_link
87,032-4,Shave Package 3.0,3. Solution Aware,Benefits-Driven,"Zelfvertrouwen & comfort door pijnloos, snel en dagelijks glad scheren.","Frustratie over pijnlijke scheerbeurten → verlangen naar gemak, comfort en zelfverzekerd gevoel.",🖼️ Static ad,🖼️ Static ad,Krijg elke dag comfort en zelfvertrouwen,Meta,NL & BE,Luca,2025-09-30,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.81,2.26,,Killed,,,https://drive.google.com/drive/folders/1TM7K3uHtbNoyg8tmrFp1MlL2UqbBAXK5?usp=drive_link
88,033-1,Shave Package 3.0,2. Problem Aware,Authority / Expert,"Focus op zekerheid, gemak en vertrouwen. Geen wondjes, geen irritatie, geen onzekerheid.","Emotie: Stress, schaamte en onzekerheid bij trimmen/scheren.Desire: Pijnloos, zorgeloos en snel scheren → direct zelfvertrouwen en rust.",🖼️ Static ad,🖼️ Static ad,Scheren zonder stress roept... We hebben al meer dan 125.000 mannen geholpen met hun grooming en scheren,Meta,NL & BE,Luca,2025-10-06,13.94,,0.0,0.0,0.0069,6.38,0.93,,0.0,0.0,0.0,0.0,1.81,2.26,,Killed,,,https://drive.google.com/drive/folders/1w6Z5GVPH4n5dRlQAgMSxyZFTcanGA3Jq?usp=drive_link
